"Nome","Ruolo","FantaValue","Media acquisto"
"Svilar","P","19","45"
"Carnesecchi","P","16","28"
"Martinez Jo.","P","16","32"
"Vicario","P","16","31"
"Butez","P","15","24"
"Maignan","P","14","26"
"Caprile","P","11","12"
"Mandas","P","11","18"
"Skorupski","P","10","14"
"De Gea","P","10","12"
"Meret","P","10","22"
"Perri","P","9","8"
"Falcone","P","8","12"
"Okoye","P","8","13"
"Sanchez Ro.","P","8","8"
"Bijlow","P","7","6"
"Palmisani","P","6","6"
"Daffara","P","6","2"
"Muric","P","6","7"
"Milinkovic-Savic V.","P","5","5"
"Stankovic F.","P","5","4"
"Thiam","P","4","2"
"Corvi","P","3","5"
"Pessina Mas.","P","2","0"
"Sportiello","P","1","0"
"Happonen","P","1","0"
"Sherri","P","1","0"
"Tornqvist","P","1","2"
"Vigorito","P","1","0"
"Christensen O.","P","1","0"
"Lezzerini","P","1","0"
"Desplanches","P","1","0"
"Lolic","P","1","0"
"Sommariva","P","1","0"
"Stolz","P","1","0"
"Di Gennaro","P","1","0"
"Provedel","P","1","2"
"Pinsoglio","P","1","0"
"Motta","P","1","0"
"Renzetti","P","1","0"
"Terracciano","P","1","0"
"Torriani","P","1","0"
"Strajnar","P","1","0"
"Contini","P","1","0"
"De Marzi","P","1","0"
"Gollini","P","1","0"
"Russo A.","P","1","0"
"Turati","P","1","0"
"Mascardi","P","1","0"
"Siviero","P","1","0"
"Padelli","P","1","0"
"Grandi","P","1","0"
"Pozzi","P","1","0"
"Satalino","P","1","0"
"Penev","P","1","0"
"Pisseri","P","1","0"
"Radunovic","P","1","0"
"Montipò","P","1","0"
"Bleve","P","1","0"
"Grabara","P","1","0"
"Mrozek","P","1","0"
"Ghidotti","P","1","0"
"Pompei","P","1","0"
"Dimarco","D","30","125"
"Wesley","D","18","44"
"Molina N.","D","18","32"
"Bremer","D","16","28"
"Akanji","D","15","20"
"Mancini","D","15","27"
"Bastoni","D","14","21"
"Rrahmani","D","14","26"
"Kalulu","D","13","22"
"Pavlovic","D","13","22"
"Solet","D","13","18"
"Ramon","D","12","18"
